Course Number,Number of Sections,Minimum # seats,Maximum # seats,Prerequisites
CSC 215,5,16,24,
CSC 220,5,16,24,
CSC 230,3,16,24,CSC 220:C
CSC 250,1,16,24,CSC 215:C
CSC 270,3,16,24,CSC 220:C
CSC 275,1,16,24,
CSC 305,1,16,24,CSC 230:C; CSC 270:C; MAT 127:C
CSC 315,1,16,22,CSC 230:C; CSC 270:C; MAT 127:C
CSC 325,2,16,24,CSC 230:C; CSC 270:C; MAT 127:C
CSC 335,2,16,24,CSC 230:C; CSC 270:C; MAT 127:C
CSC 345,1,16,24,CSC 325
CSC 355,1,16,22,CSC 230:C; CSC 270:C; MAT 127:C
CSC 360,2,16,24,CSC 230:C; CSC 270:C; MAT 127:C
CSC 380,1,16,24,CSC 230:C; CSC 270:C; MAT 127:C
CSC 415,2,12,18,CSC 230:C; CSC 270:C; MAT 127:C
CSC 425,0,16,22,CSC 230:C; CSC 270:C; MAT 127:C
CSC 435,1,16,24,CSC 230:C; CSC 270:C; MAT 127:C
CSC 445,1,16,24,CSC 230:C; CSC 270:C; MAT 127:C
CSC 448,0,16,22,CSC 230:C; CSC 270:C; MAT 127:C
CSC 470,1,16,22,CSC 230:C; CSC 270:C; MAT 127:C
CSC 498,8,0,3,CSC 415
